Name,Type,Level,Race,Attribute,ATK,DEF
Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930
Lava Golem,Effect Monster,8,Fiend,FIRE,3000,2500
Seismic Crasher,Effect Monster,3,Rock,EARTH,1400,300
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200
Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400
Miracle Flipper,Effect Monster,2,Spellcaster,LIGHT,300,500
Key Mouse,Tuner Monster,1,Beast,EARTH,100,100
Vylon Hept,Effect Monster,4,Fairy,LIGHT,1800,800
Koa'ki Meiru Prototype,Effect Monster,4,Rock,EARTH,1800,1800
Fenrir,Effect Monster,4,Beast,WATER,1400,1200
Rapid Warrior,Effect Monster,4,Warrior,WIND,1200,200
Mermail Abyssnose,Effect Monster,4,Fish,WATER,1500,1500
Jet Warrior,Synchro Monster,5,Warrior,FIRE,2100,1200
T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0
Gusto Squirro,Tuner Monster,2,Thunder,WIND,0,1800
Performapal Elephammer,Effect Monster,6,Beast,EARTH,2600,1800
Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950
Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800
Gagaga Sister,Effect Monster,2,Spellcaster,DARK,200,800
Wattgiraffe,Effect Monster,4,Thunder,LIGHT,1200,100
Summoner Monk,Effect Monster,4,Spellcaster,DARK,800,1600
Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600
Goblin of Greed,Effect Monster,4,Fiend,EARTH,1000,1800
Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100
Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200
Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200
Superheavy Samurai Warlord Susanowo,Synchro Monster,10,Machine,EARTH,2400,3800
Cherry Inmato,Tuner Monster,2,Plant,DARK,700,400
Prevent Rat,Normal Monster,4,Beast,EARTH,500,2000
Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200
Daigusto Emeral,XYZ Monster,4,Rock,WIND,1800,800
